,,,,Rougé-Maillart 2009,,,,,,,,,Buckberry and Chamberlain 2002,,,,,,,Lovejoy 1985,,Suchey-Brooks 1990,,Iscan 1984-1985,,Falys and Prangle 2015,,,,,Beauthier 2010,,,,,,Mann 1991
CIM,Age-at-death,ASAB,,ORGANIZZAZIONE TRASVERSA (1-7),SURFACE TEXTURE (1-5),POROSITà (1-5),ATTIVITà APICE (1-3),RIM (1-5),FOSSA (1-4),ATTIVITà APICE (1-3),SCORE,,ORGANIZZAZIONE TRASVERSA (1-5),SURFACE TEXTURE (1-5),MICROPOROSITà (1-3),MACROPOROSITà (1-3),ATTIVITà APICE (1-3),SCORE,,SCORE,,SCORE,,SCORE,,topography,porosity,osteophitic formation,SCORE,,IN,AMP,TP,PMP,cp,,GROUP
483,30,M,,5,4,2,2,2,2,1,18,,5,4,2,1,2,14,,4,,,,,,1,1,1,3,,16,0,2,4,1.47,,2
468,70,M,,6,5,5,3,4,3,2,28,,4,5,3,3,3,18,,8,,6,,,,5,4,3,12,,16,8,23,8,3.67,,4
486,76,M,,6,4,5,3,5,3,3,29,,5,4,3,3,3,18,,8,,,,,,5,4,3,12,,15,9,12,8,2.93,,3
487,33,M,,2,2,3,1,1,2,1,12,,2,2,3,1,1,9,,3,,,,,,1,1,1,3,,13,1,1,0,1.00,,2
492,71,M,,6,5,4,2,4,3,1,25,,5,5,3,2,2,17,,8,,6,,7,,4,4,2,10,,16,11,23,8,3.87,,5
494,95,M,,7,5,5,3,4,4,3,31,,5,5,3,3,3,19,,8,,6,,,,,,,,,16,9,12,8,3.00,,3
495,39,M,,5,3,3,2,2,2,1,18,,5,3,3,1,2,14,,5,,4,,5,,1,1,1,3,,13,2,4,2,1.40,,2
496,63,M,,4,5,4,2,4,3,3,25,,4,5,3,2,2,16,,6,,,,,,5,4,2,11,,14,8,12,8,2.80,,3
503,54,M,,,,,,,,,,,4,5,3,1,1,14,,7,,,,,,,,,,,13,10,12,8,2.87,,3
541,30,M,,4,3,2,2,2,2,1,16,,4,3,2,1,1,11,,4,,5,,4,,not fused,not fused,not fused,not fused,,14,6,9,7,2.40,,3
548,29,M,,3,3,2,1,1,2,2,14,,3,3,2,1,1,10,,4,,4,,,,1,1,1,3,,16,0,1,0,1.13,,2
552,38,M,,4,4,2,2,3,2,1,18,,4,4,2,1,2,13,,5,,4,,,,3,2,1,6,,16,8,7,8,2.60,,3
557,89,M,,6,5,4,2,5,3,2,27,,5,5,3,2,2,17,,8,,6,,,,4,4,2,10,,,,,,,,
564,79,M,,7,5,5,3,5,2,3,30,,5,5,3,3,3,19,,8,,6,,,,5,4,3,12,,16,10,20,8,3.60,,5
570,74,M,,5,5,3,3,5,2,3,26,,5,5,3,1,3,17,,8,,6,,,,5,3,4,12,,15,4,16,8,2.87,,3
576,30,M,,2,2,3,2,2,1,1,13,,2,2,2,1,2,9,,3,,,,,,2,4,1,7,,14,0,4,0,1.20,,2
623,75,M,,7,5,4,2,4,3,2,27,,5,5,3,2,2,17,,8,,,,,,5,5,3,13,,,,,,,,
646,78,M,,6,5,4,2,5,3,2,27,,5,5,3,2,2,17,,8,,6,,7,,4,4,2,10,,,,,,,,
726,75,M,,7,5,4,3,5,3,3,30,,5,5,3,2,3,18,,8,,,,7,,3,3,2,8,,16,9,24,6,3.67,,5
729,46,M,,4,5,3,2,2,2,2,20,,4,5,3,1,2,15,,6,,,,,,3,2,2,7,,,,,,,,
